Name,Paved Path,Protected Bike Lane,Bike Lane,Marked Route,Unmarked Route,All Roads
Emery,0,0,0,0,3.4,16.9
Emery County (Unincorporated),0,0,0,0,134.8,4679.8
Emigration Canyon,0,0,4.8,3.8,0,26.2
Enoch,0,0,0,0,0.2,79.4
Enterprise,0,0,0,0,1.1,34.9
Ephraim,0,0,0,0.1,3.2,50
Erda,0,0,0,0,8.7,86.1
Escalante,0,0,1,0,0,28.4
Eureka,0,0,0,0,0,17.8
Fairfield,0.1,0,0,0,2,43.7
Fairview,0,0,0,0,2.1,17.4
Farmington,36.4,0,0.6,0,16.9,197.2
Farr West,2.9,0,0.7,3.5,5.4,56.6
Fayette,0,0,0,0,0,4.9
Ferron,0,0,0,0,3.3,27.3
Fielding,0,0,0,0,0,7.6
Fillmore,0,0,1,0,2.7,77.5
Fountain Green,0,0,0,0,1.1,19.6
Francis,0,0,0,0,0.5,28
Fruit Heights,0.2,0,1.9,0,5.9,36
Garden City,2.9,0,0,0,0.5,76.2
Garfield County (Unincorporated),17.3,0,1,0,55.1,4872.3
Garland,0,0,0,0,5.3,24.2
Genola,0,0,0,0,1,41.5
Glendale,0,0,0,0,4.6,29.2
Glenwood,0,0,0,0,0.1,7.8
Goshen,0,0,0,0,0.5,12.7
Grand County (Unincorporated),11.4,0,0.3,0,42,7152.7
Grantsville,3.2,0,0,0,18.5,175.4
Green River,0,0,0,0,38.2,131.1
Gunnison,1.1,0,0,0,3.9,29.8
Hanksville,0,0,0,0,0,14.4
Harrisville,0.9,0,0,0,5.5,33.1
Hatch,0,0,0,0,5.2,13.1
Heber City,12.5,0,0,0,20.2,159.2
Helper,0,0,0,0,2.6,29.8
Henefer,0,0,0,0,2.2,33.6
Henrieville,0,0,0,0,0.4,10.1
Herriman,43.8,0,13.8,0,20,242.3
Hideout,2.7,0,0,0,4.5,27.8
Highland,40.6,0,4.9,0.1,13.8,119.8
Hildale,0,0,0,0,0.3,39.7
Hinckley,0,0,0,0,0.2,26.2
Holden,0,0,0,0,0.8,14.2
Holladay,1.5,0,7.3,0.8,15,150.2
Honeyville,0,0,0,0,0.5,56.2
Hooper,3.7,0,0,0,2,69.4
Howell,0,0,0,0,0,56.3
Huntington,0,0,0,0,3.2,24.9
Huntsville,1.3,0,0,0,0,15.6
Hurricane,0,0,0.3,0,35,299.8
Hyde Park,2.1,0,0,0,3.7,49.6
Hyrum,0,0,0,0,1.4,77.1
Independence,0,0,0,0,9.7,44.4
Interlaken,0.4,0,0,0,0,4.1
Iron County (Unincorporated),4.8,0,0,0,20.3,5527.6
Ivins,9.5,0,0.5,0,3.2,109.4
Joseph,15.8,0.3,0,0,0.5,26.2
Juab County (Unincorporated),0,0,0,0,45.1,4583.2
Junction,0,0,0,0,5.2,47.3
Kamas,0,0,0,0,6.7,22.9
Kanab,0,0,0,0,10.5,83
Kanarraville,0,0,0,0,0,7.8
Kane County (Unincorporated),0,0,0,0,91.1,3985.8
Kanosh,0,0,0,0,0.8,10.9
Kaysville,20,0,6,1.3,7.9,190.7
Kearns,5.3,0,6.1,0.8,10.7,105.8
Kingston,0,0,0,0,0,22.7
Koosharem,0,0,0,0,0,19.7
La Verkin,0,0,0,0,3.7,50.7
Lake Point,0,0,0,0,5.4,53.2
Laketown,0,0,0,0,0,23.3
Layton,30.2,0,6.8,0,37.9,382.9
Leamington,0,0,0,0,0.8,10.1
Leeds,0,0,0,0,1.1,48.8
Lehi,81,0.9,11.9,0,23.8,428.6
Levan,0,0,0,0,0.9,13.7
Lewiston,0,0,0,0,3,62.4
Lindon,21.7,0,7.7,1.1,9.9,84.1
Loa,0,0,0,0,0.9,16.2
Logan,11.1,0.5,4,0.8,31.2,235.5
Lyman,0,0,0,0,0.2,15.8
Lynndyl,0,0,0,0,0.2,26.3
Magna City,8.2,0,3,6.8,19.4,141.1
Manila,0,0,0,0,0,13.5
Manti,0,0,0,0,5.4,50.1
Mantua,0,0,0,0,2.6,29.3
Mapleton,11.4,0,6,0,6.1,109.1
Marriott-Slaterville,2.8,0,0.6,0,5.2,42.6
Marysvale,0,0,0,0,4.1,76.7
Mayfield,0,0,0,0,0.1,10.7
Meadow,0,0,0,0,0.1,8.2
Mendon,1.3,0,0,0,0.1,18.1
Midvale,7.2,0,0.4,0,14,117.4
Midway,22.8,0,2,0,2.1,73.1
Milford,0,0,0,0,8.8,27.7
Millard County (Unincorporated),0,0,0,0,40.7,8826.6
Millcreek,5.4,0,15.4,5.8,19.7,248.2
Millville,0,0,0,0,0.9,21.1
Minersville,0,0,0,0,2.3,18.3
Moab,6.2,0,3.6,0,6.7,78.4
Mona,0,0,0,0,0.1,27.8
Monroe,0,0,0,0,1.4,40.7
Monticello,0,0,0,0,3.8,24.9
Morgan,1.3,0,0,0,1.9,34.9
Morgan County (Unincorporated),1.9,0,0,6,0.1,1306.8
Moroni,0,0,0,0,0.8,17.5
Mount Pleasant,0,0,0,0,1.9,48.8
Murray,9,0,7,2.5,20.1,247.9
Myton,0,0,0,0,9,14.6
Naples,0.8,0,0.6,0,7.2,27.6
Nephi,0,0,0,0,6.3,90.2
New Harmony,0,0,0,0,0,7.7
Newton,0,0,0,0,0.6,14.6
Nibley,2.7,0,0.8,0,6,52.8
North Logan,7,0,0.9,0,8.6,70.1
North Ogden,2.5,0,1.9,0,5.8,104.9
North Salt Lake,12.2,0,8.3,0,11.1,117.4
Oak City,0,0,0,0,0.2,12.7
Oakley,1,0,0,0,2.6,35.3
Ogden,15.7,0.6,20.9,3.6,41.2,366.1
Ogden Valley City,9.6,0,0,2.3,0,188.1
Orangeville,0,0,0,0,0.6,13.9
Orderville,0,0,0,0,9.1,42.3
Orem,39.4,0,28.2,0,38.6,346
Panguitch,0,0,0,0,3.1,33.5
Paradise,0,0,0,0,0,17.7
Paragonah,0,0,0,0,0.4,12.6
Park City,22.3,0,2.2,6.2,17,148.5
Parowan,0,0,0,0,1.9,88.3
Payson,7.4,0,5.7,0,4.2,144.3
Perry,0.4,0,0,0,2.5,70.4
Piute County (Unincorporated),0,0,0,0,15.9,1316.3
Plain City,1.1,0,0,0.4,3.3,60.8
Pleasant Grove,13.4,0,3.2,0,16.5,145
Pleasant View,1.6,0,0.4,0,4.3,70.1
Plymouth,0,0,0,0,2.4,15
Portage,0,0,0,0,0,12.1
Price,1.3,0,0,0,12.2,72.2
Providence,0.8,0,4.7,3.7,2.2,53.2
Provo,48.7,0.5,51.6,4.9,19.9,381.4
Randolph,0,0,0,0,0.4,24
Redmond,2.7,0,0,0,0.3,13.8
Rich County (Unincorporated),0,0,0,0,0,2017.3
Richfield,2.4,0,0.6,0,10.3,114
Richmond,0,0,0,0,2.1,32
River Heights,0,0,0.5,0,0.1,11.6
Riverdale,4.6,0,3.6,0,4.6,73
Riverton,18,0,18.4,0.7,8.3,199.7
Rockville,0,0,0,0,4.9,29
Rocky Ridge,0,0,0,0,0,10.7
Roosevelt,0,0,0.3,0,5.1,67.5
Roy,6.6,0,4.5,0,8.3,155
Rush Valley,0,0,0,0,0,47.6
Salem,10.1,0,3.3,0,3.8,122
Salina,4,0,0,0,6.6,82.9
Salt Lake City,59.8,3.2,131,41.3,19.3,1976.5
Salt Lake County (Unincorporated),26.4,0,19.6,31.6,46,300.8
San Juan County (Unincorporated),0.5,0,0,0,130.4,8137.7
Sandy,16.6,0,23,1.5,34.5,417.8
Sanpete County (Unincorporated),0,0,0,0,65.2,3049.3
Santa Clara,3.7,0,3.7,0,4.1,58.7
Santaquin,3.2,0,1.1,0,4.8,117.6
Saratoga Springs,74.5,0,25.2,0.1,12.2,248.8
Scipio,0,0,0,0,0.8,19.1
Scofield,0,0,0,0,0,12.5
Sevier County (Unincorporated),21.4,0,0,0.1,53.6,3225.9
Sigurd,0,0,0,0,5.1,25
Smithfield,3.3,0,0,0,5.1,84.6
Snowville,0,0,0,0,0.4,6.5
South Jordan,53.6,0.2,36.9,1.3,21,413.6
South Ogden,1.8,0,1.4,0,11.8,74.1
South Salt Lake,9.2,0,12.8,0,7.2,123
South Weber,0.8,0,0.6,0,9.4,60.6
Spanish Fork,36.6,0,3.5,0,25.4,241.9
Spring City,0,0,0,0,0.9,26.5
Spring Lake,0,0,0.5,0,0.6,22.4
Springdale,0,0,0.6,0,1.7,23.1
Springville,12.4,0,9.3,0.3,9.3,185.4
St. George,47.9,0,6.8,0,89.9,769
Sterling,0,0,0,0,0.2,4.9
Stockton,0,0,0,0,0.4,14.3
Summit County (Unincorporated),53.2,0,2,0,49.4,2819.5
Sunset,0,0,1.5,0,2.4,32.2
Syracuse,17.6,0,13.9,0,5.7,184.8
Tabiona,0,0,0,0,0,4.8
Taylorsville,9,0,4.1,0.1,16.7,215.9
Tooele,5.8,0,3.6,0,16.5,222.9
Tooele County (Unincorporated),2.7,0,1.7,0,52.6,5602.8
Toquerville,0.4,0,0,0,1.9,86.7
Torrey,0.6,0,0,0,0,22.5
Tremonton,0,0,0,0,7.2,86.7
Trenton,0,0,0,0,0,27.4
Tropic,0,0,0,0,0.3,30.6
Uintah,0,0,0,0,1.4,14
Uintah County (Unincorporated),0,0,1.4,0,114.2,6585.9
Utah County (Unincorporated),55,0.7,11.2,0,91.7,1391.4
Vernal,0,0,1.5,0,20.5,70.1
Vernon,0,0,0,0,0,23.1
Vineyard,21.2,0,3.5,1.6,1.1,54.2
Virgin,0,0,0,0,4.4,50.7
Wales,0,0,0,0,0,5.9
Wallsburg,0,0,0,0,0,4.7
Wasatch County (Unincorporated),21.3,0,0,0.3,85.4,1972.4
Washington,25.8,0,0,0.2,25,344.9
Washington County (Unincorporated),25.6,0,1,0,42.3,2171.6
Washington Terrace,0.5,0,0,0,1.6,32.7
Wayne County (Unincorporated),0.6,0,0,0,9.8,2243.2
Weber County (Unincorporated),5.3,0,0.2,4.5,11.5,556.1
Wellington,0,0,0,0,5.2,34.6
Wellsville,1.2,0,0,0,12.6,52.1
Wendover,0,0,0,0,1.2,44.6
West Bountiful,6,0,1.7,0,4.1,42.6
West Haven,10.3,0,2.8,0,10.4,117.9
West Jordan,26.9,0,32.9,0.1,51.7,475.5
West Point,5.8,0,1.1,0,9.4,69.8
West Valley City,35.4,0,19.1,0.7,47.2,484.9
White City,3.1,0,0.1,0,1.2,19.6
Willard,1.5,0,0.1,0,1.8,53.5
Woodland Hills,0,0,0,0,0.1,20.6
Woodruff,0,0,0,0,0,9.9
Woods Cross,7.8,0,1.8,0,3.1,60.7
NA,0,0,0,0,0,51.1
